Employee_ID,Age,Gender,Education_Level,Marital_Status,Department,Location,Years_at_Company,Years_in_Current_Role,Promotion_Last_3Yrs,Employment_Type,Training_Hours,Monthly_Salary,Salary_Hike_Percent,Bonus,Stock_Options,Benefits_Score,Performance_Rating,Manager_Rating,Projects_Assigned,Certification_Count,Overtime_Hours,Work_Life_Balance,Commute_Distance_KM,Remote_Work_Days,Team_Size,Job_Satisfaction,Engagement_Score,Absenteeism_Days,Attrition,High_Risk_Employee
EMP00001,56,Male,Master,Married,Cyber Security,Delhi,1,0,0,Full-Time,14.975260477696153,149839.23706547247,16.744704183845833,28976.87197121712,2,5,4,2.0,4,0,25.227376647570544,3,23,2,5,3.0,31,22,1,1
EMP00002,23,Female,Master,Married,Cyber Security,Lucknow,17,14,1,Full-Time,46.06621901511873,148264.44095582498,17.870663189044016,24863.153520167303,149,9,4,5.0,5,4,16.316392445776856,4,38,2,13,8.0,78,6,0,0
EMP00003,54,Female,Master,Married,Finance,Mumbai,3,2,0,Full-Time,31.958973709034847,126204.44936215326,20.466808353229563,16941.931262334678,13,5,5,4.0,7,2,16.51144934368041,4,33,1,10,3.0,36,16,0,0
EMP00004,45,Female,Bachelor,Single,Investment Banking,Jaipur,18,14,0,Full-Time,27.480963925731416,180338.83939850883,16.29024819662924,14954.790600729102,118,8,4,3.0,5,0,27.381205172464213,2,4,0,4,5.0,53,12,0,0
EMP00005,31,Male,Bachelor,Married,Customer Support,Mumbai,7,3,0,Full-Time,30.143295914589167,79247.90956864005,10.328691688061136,14933.920949620777,81,5,3,1.0,5,2,25.68938609249783,2,22,0,4,2.0,24,20,1,1
EMP00006,30,Male,Bachelor,Married,Human Resources,Pune,0,0,1,Full-Time,58.914444648187065,102879.87074667322,13.17398454729961,15774.899991083852,23,7,4,1.0,4,5,14.799325474673967,3,11,2,4,4.0,26,6,0,0
EMP00007,54,Male,Bachelor,Married,Cyber Security,Delhi,11,4,0,Full-Time,42.71272849327048,156838.62278150686,10.254436595048684,30977.053235751082,259,5,3,1.0,3,3,21.545169971706073,3,27,2,14,3.0,19,15,0,1
EMP00008,42,Female,Master,Married,Customer Support,Pune,5,4,0,Full-Time,42.74412545909349,56938.33409256651,16.223524422937373,7066.900154720332,28,8,4,4.0,3,2,19.29810812681732,3,22,0,14,3.0,32,17,0,1
EMP00009,35,Female,Master,Married,Human Resources,Hyderabad,19,14,0,Full-Time,54.92643827705892,70334.88294397271,14.921600870129126,7224.867594064047,335,5,4,2.0,7,2,9.208490421386713,3,25,2,8,3.0,24,13,0,1
EMP00010,44,Female,Bachelor,Single,Risk Management,Kolkata,6,1,0,Full-Time,58.47355058060427,105965.43155215765,20.41973493817914,9167.668150144487,58,7,5,2.0,2,3,14.176672454329783,3,5,2,9,3.0,32,14,0,1
EMP00011,33,Male,Bachelor,Married,Customer Support,Bangalore,10,5,0,Full-Time,32.879876124913565,51269.443336356046,15.775897084162931,8506.778350416414,36,6,4,5.0,7,0,31.675773873757016,2,31,0,5,2.0,14,11,1,1
EMP00012,43,Other,Bachelor,Married,Risk Management,Chennai,8,5,0,Full-Time,34.062180264251296,134148.23651274902,13.404261387338277,17004.801336253036,95,8,4,5.0,3,2,11.850528277779764,4,33,2,6,,53,9,0,0
EMP00013,49,Female,PhD,Married,Human Resources,Pune,7,3,1,Full-Time,49.02794377296022,94537.62417201912,15.328985630283437,8056.126388833715,99,6,4,4.0,3,2,9.794498015033025,4,35,2,8,4.0,37,13,0,0
EMP00014,48,Male,Master,Married,Investment Banking,Chennai,16,3,1,Full-Time,38.01025061888575,189340.69203124443,20.385191361656624,30058.119922539077,150,5,5,1.0,7,3,33.574411198914426,2,34,0,4,2.0,17,19,1,1
EMP00015,31,Male,MBA,Single,Risk Management,Hyderabad,10,0,1,Contract,29.263887826870906,159822.38557604922,16.255142628714683,16953.921862694995,64,9,4,2.0,6,0,9.17360639981704,4,18,2,9,7.0,70,2,0,0
EMP00016,39,Male,MBA,Married,Investment Banking,Ahmedabad,15,14,0,Full-Time,63.08468360477153,189655.1487834409,21.631669275149516,18713.557033268757,122,5,5,1.0,5,3,32.61586266003978,3,32,0,11,3.0,32,19,1,1
EMP00017,45,Male,Master,Single,Operations,Mumbai,8,5,0,Full-Time,47.39881348651356,91337.43190719574,15.924563843187022,8970.10794889585,43,7,4,2.0,5,3,23.24115240355576,3,15,1,12,2.0,6,13,1,1
EMP00018,24,Female,Master,Single,Investment Banking,Kolkata,11,5,0,Full-Time,32.207043720989226,201815.33317192443,9.027356630666374,32048.58050496399,344,7,3,4.0,3,1,27.179514048048546,2,18,0,12,4.0,45,7,0,1
EMP00019,25,Male,Bachelor,Married,Risk Management,Chennai,3,1,1,Full-Time,30.92016300474119,150415.29493961297,14.578637602694215,19731.20602255483,4,6,4,1.0,5,1,9.203251152147917,5,12,2,12,4.0,36,13,0,0
EMP00020,51,Male,Master,Single,Compliance,Lucknow,2,1,0,Full-Time,50.53909740036694,115866.24341669283,12.540716981436605,10044.35290391171,12,7,4,,4,4,12.715499903292853,4,17,1,10,4.0,39,6,0,0
EMP00021,42,Female,Bachelor,Married,Investment Banking,Chennai,11,11,1,Full-Time,25.645946439590418,196056.5438423121,8.578566882803498,31579.0012895024,138,6,3,2.0,2,2,25.890557289615042,3,19,0,13,4.0,38,12,1,1
