Employee_ID,Age,Gender,Education_Level,Marital_Status,Department,Location,Years_at_Company,Years_in_Current_Role,Promotion_Last_3Yrs,Employment_Type,Training_Hours,Monthly_Salary,Salary_Hike_Percent,Bonus,Stock_Options,Benefits_Score,Performance_Rating,Manager_Rating,Projects_Assigned,Certification_Count,Overtime_Hours,Work_Life_Balance,Commute_Distance_KM,Remote_Work_Days,Team_Size,Job_Satisfaction,Engagement_Score,Absenteeism_Days,Attrition,High_Risk_Employee
EMP00001,56,Male,Master,Married,Cyber Security,Delhi,1,0,0,Full-Time,14.97526048,149839.2371,16.74470418,28976.87197,2,5,4,2,4,0,25.22737665,3,23,2,5,3,31,22,1,1
EMP00002,23,Female,Master,Married,Cyber Security,Lucknow,17,14,1,Full-Time,46.06621902,148264.441,17.87066319,24863.15352,149,9,4,5,5,4,16.31639245,4,38,2,13,8,78,6,0,0
EMP00003,54,Female,Master,Married,Finance,Mumbai,3,2,0,Full-Time,31.95897371,126204.4494,20.46680835,16941.93126,13,5,5,4,7,2,16.51144934,4,33,1,10,3,36,16,0,0
EMP00004,45,Female,Bachelor,Single,Investment Banking,Jaipur,18,14,0,Full-Time,27.48096393,180338.8394,16.2902482,14954.7906,118,8,4,3,5,0,27.38120517,2,4,0,4,5,53,12,0,0
EMP00005,31,Male,Bachelor,Married,Customer Support,Mumbai,7,3,0,Full-Time,30.14329591,79247.90957,10.32869169,14933.92095,81,5,3,1,5,2,25.68938609,2,22,0,4,2,24,20,1,1
EMP00006,30,Male,Bachelor,Married,Human Resources,Pune,0,0,1,Full-Time,58.91444465,102879.8707,13.17398455,15774.89999,23,7,4,1,4,5,14.79932547,3,11,2,4,4,26,6,0,0
EMP00007,54,Male,Bachelor,Married,Cyber Security,Delhi,11,4,0,Full-Time,42.71272849,156838.6228,10.2544366,30977.05324,259,5,3,1,3,3,21.54516997,3,27,2,14,3,19,15,0,1
EMP00008,42,Female,Master,Married,Customer Support,Pune,5,4,0,Full-Time,42.74412546,56938.33409,16.22352442,7066.900155,28,8,4,4,3,2,19.29810813,3,22,0,14,3,32,17,0,1
EMP00009,35,Female,Master,Married,Human Resources,Hyderabad,19,14,0,Full-Time,54.92643828,70334.88294,14.92160087,7224.867594,335,5,4,2,7,2,9.208490421,3,25,2,8,3,24,13,0,1
EMP00010,44,Female,Bachelor,Single,Risk Management,Kolkata,6,1,0,Full-Time,58.47355058,105965.4316,20.41973494,9167.66815,58,7,5,2,2,3,14.17667245,3,5,2,9,3,32,14,0,1
EMP00011,33,Male,Bachelor,Married,Customer Support,Bangalore,10,5,0,Full-Time,32.87987612,51269.44334,15.77589708,8506.77835,36,6,4,5,7,0,31.67577387,2,31,0,5,2,14,11,1,1
EMP00012,43,Other,Bachelor,Married,Risk Management,Chennai,8,5,0,Full-Time,34.06218026,134148.2365,13.40426139,17004.80134,95,8,4,5,3,2,11.85052828,4,33,2,6,4,53,9,0,0
EMP00013,49,Female,PhD,Married,Human Resources,Pune,7,3,1,Full-Time,49.02794377,94537.62417,15.32898563,8056.126389,99,6,4,4,3,2,9.794498015,4,35,2,8,4,37,13,0,0
EMP00014,48,Male,Master,Married,Investment Banking,Chennai,16,3,1,Full-Time,38.01025062,189340.692,20.38519136,30058.11992,150,5,5,1,7,3,33.5744112,2,34,0,4,2,17,19,1,1
EMP00015,31,Male,MBA,Single,Risk Management,Hyderabad,10,0,1,Contract,29.26388783,159822.3856,16.25514263,16953.92186,64,9,4,2,6,0,9.1736064,4,18,2,9,7,70,2,0,0
EMP00016,39,Male,MBA,Married,Investment Banking,Ahmedabad,15,14,0,Full-Time,63.0846836,189655.1488,21.63166928,18713.55703,122,5,5,1,5,3,32.61586266,3,32,0,11,3,32,19,1,1
EMP00017,45,Male,Master,Single,Operations,Mumbai,8,5,0,Full-Time,47.39881349,91337.43191,15.92456384,8970.107949,43,7,4,2,5,3,23.2411524,3,15,1,12,2,6,13,1,1
EMP00018,24,Female,Master,Single,Investment Banking,Kolkata,11,5,0,Full-Time,32.20704372,201815.3332,9.027356631,32048.5805,344,7,3,4,3,1,27.17951405,2,18,0,12,4,45,7,0,1
EMP00019,25,Male,Bachelor,Married,Risk Management,Chennai,3,1,1,Full-Time,30.920163,150415.2949,14.5786376,19731.20602,4,6,4,1,5,1,9.203251152,5,12,2,12,4,36,13,0,0
EMP00020,51,Male,Master,Single,Compliance,Lucknow,2,1,0,Full-Time,50.5390974,115866.2434,12.54071698,10044.3529,12,7,4,3,4,4,12.7154999,4,17,1,10,4,39,6,0,0
EMP00021,42,Female,Bachelor,Married,Investment Banking,Chennai,11,11,1,Full-Time,25.64594644,196056.5438,8.578566883,31579.00129,138,6,3,2,2,2,25.89055729,3,19,0,13,4,38,12,1,1
EMP00022,43,Male,MBA,Married,Cyber Security,Jaipur,17,16,0,Full-Time,49.76336981,131978.8896,21.16777632,11923.26991,362,6,5,5,7,0,24.98667002,3,26,2,5,5,57,12,0,0
EMP00023,49,Male,Bachelor,Married,Investment Banking,Ahmedabad,3,2,0,Full-Time,41.39316853,187974.7603,8.075333031,24323.10099,16,5,3,4,2,1,31.18748678,2,27,0,11,3,19,19,0,1
EMP00024,30,Male,MBA,Married,Compliance,Pune,15,9,0,Full-Time,52.21356878,137505.1052,15.62715795,24395.72119,433,6,4,3,5,3,11.3935986,4,48,1,11,4,29,9,0,0
EMP00025,37,Male,Bachelor,Married,Finance,Ahmedabad,6,2,1,Full-Time,44.69992879,135004.353,21.99828364,20402.70058,51,7,5,2,4,4,10.9604642,3,38,1,11,6,58,9,0,0
EMP00026,58,Female,MBA,Married,Finance,Bangalore,9,6,0,Full-Time,24.48196909,117844.4403,10.08145388,23548.62701,58,8,3,3,2,2,23.7440672,2,46,1,12,4,36,7,0,1
EMP00027,26,Male,Bachelor,Single,Investment Banking,Jaipur,0,0,1,Full-Time,51.2709206,183801.6666,18.77760566,25060.58276,8,5,5,2,5,3,29.06757943,2,24,0,12,3,23,19,1,1
EMP00028,35,Female,Master,Married,Risk Management,Lucknow,13,3,1,Full-Time,50.66800039,133225.2929,12.60123256,12101.72573,316,5,4,2,4,4,17.60916516,4,17,2,10,6,64,14,0,0
EMP00029,35,Female,Master,Single,Retail Banking,Jaipur,17,15,1,Full-Time,38.41302136,89159.03972,13.92184624,12655.11454,438,5,4,3,5,3,14.06102822,3,28,1,12,4,35,8,0,0
EMP00030,37,Male,Bachelor,Single,Risk Management,Hyderabad,0,0,1,Full-Time,46.33963075,134118.4544,12.88832086,26718.99744,22,6,4,1,3,2,12.70960996,4,31,2,8,4,35,6,0,0
EMP00031,25,Female,Master,Married,Cyber Security,Kolkata,6,5,0,Full-Time,42.45216853,160492.1556,17.95886856,27934.68659,70,6,4,1,4,3,24.80792493,3,28,2,11,1,29,13,1,1
EMP00032,58,Male,MBA,Single,Risk Management,Bangalore,17,15,0,Full-Time,16.80166237,150617.9924,10.21450335,24221.71167,251,6,3,2,6,0,9.706791864,4,4,2,9,5,58,7,0,0
EMP00033,35,Male,Bachelor,Married,Investment Banking,Lucknow,16,12,1,Full-Time,39.49686679,211376.7068,16.01247674,27469.88144,156,6,4,5,3,1,35.92230031,1,35,0,5,6,66,9,0,0
EMP00034,44,Female,MBA,Married,Compliance,Ahmedabad,10,4,0,Full-Time,53.64628046,114524.8095,10.52379671,22642.09445,84,8,3,4,3,4,9.202896525,4,39,1,5,5,49,9,0,0
EMP00035,30,Other,Master,Married,Risk Management,Chennai,1,0,0,Full-Time,23.01997093,132137.3014,10.15623003,18018.97989,11,8,3,2,6,2,13.21004026,4,2,2,14,3,20,18,0,1
EMP00036,45,Female,MBA,Single,Human Resources,Chennai,7,2,0,Full-Time,46.1936332,80653.76041,16.08070313,12172.79744,49,9,4,3,2,5,5.22436436,4,49,2,7,5,40,12,0,0
EMP00037,32,Male,Bachelor,Married,Operations,Hyderabad,4,3,1,Full-Time,51.915563,73999.83503,15.3044652,12237.06773,4,8,4,3,5,4,17.42995396,3,28,1,10,5,63,8,0,0
EMP00038,49,Male,Master,Single,Compliance,Pune,3,2,0,Full-Time,26.91034818,129357.247,14.57130982,14767.45392,24,6,4,3,7,0,8.153515243,3,7,1,11,5,48,5,0,0
EMP00039,40,Female,MBA,Single,Operations,Lucknow,2,2,0,Contract,33.13775414,70144.13293,13.93228255,12334.79036,0,7,4,2,2,2,16.87377614,3,35,1,8,2,26,11,0,1
EMP00040,40,Male,Bachelor,Single,Compliance,Ahmedabad,10,9,1,Full-Time,45.47291899,130561.8978,15.05535134,23562.29768,37,9,4,1,3,1,16.09559889,3,33,1,13,4,43,10,0,0
EMP00041,33,Male,Master,Married,Investment Banking,Kolkata,14,12,1,Full-Time,47.2430843,196318.2678,18.07610701,33266.66947,176,8,5,2,7,3,25.53798746,2,33,0,9,4,31,13,1,1
EMP00042,55,Female,Bachelor,Single,Technology,Lucknow,6,2,1,Full-Time,48.43482999,121498.7206,17.58997,15756.09813,69,5,4,2,5,5,12.6764772,4,41,3,11,4,49,13,0,0
EMP00043,33,Male,Bachelor,Married,Compliance,Ahmedabad,2,0,0,Full-Time,37.87516244,138539.6458,9.346323831,25389.86208,10,9,3,3,5,2,13.2782341,4,30,1,12,4,50,13,0,0
EMP00044,24,Female,Master,Single,Retail Banking,Hyderabad,16,11,0,Full-Time,36.73944496,100293.9529,10.61693861,13308.34061,278,7,3,1,3,1,18.59798543,4,27,1,11,3,44,10,0,1
EMP00045,51,Male,Master,Single,Finance,Lucknow,19,6,1,Contract,55.32266286,120223.4131,14.38326681,15364.99346,247,6,4,1,6,5,12.48244574,4,22,1,12,3,31,20,0,0
